game;length;time;addedTime;incidentType
JUV X CAG 19-08-2017;3;90;0;injuryTime
JUV X CAG 19-08-2017;1;45;0;injuryTime
HEL X NAP 19-08-2017;4;90;0;injuryTime
ATT X ROM 20-08-2017;5;90;0;injuryTime
CRO X MIL 20-08-2017;4;45;0;injuryTime
INT X FIO 20-08-2017;2;45;0;injuryTime
BEM X BGN 26-08-2017;8;90;0;injuryTime
BEM X BGN 26-08-2017;3;45;0;injuryTime
TOR X SAS 27-08-2017;6;90;0;injuryTime
MIL X CAG 27-08-2017;9;90;0;injuryTime
SPA X UDI 27-08-2017;7;90;0;injuryTime
HEL X FIO 10-09-2017;2;90;0;injuryTime
UDI X GEN 10-09-2017;5;45;0;injuryTime
INT X JUV 28-04-2018;6;45;0;injuryTime
